read 201678
scan 13654 15
scan 85844 70
scan 116335 52
scan 546222 75
scan 85844 80
scan 283063 57
scan 289846 78
scan 393973 2
scan 408173 87
scan 94761 85
scan 140770 48
scan 337893 77
scan 355008 84
scan 42032 32
scan 116335 70
scan 116823 59
scan 383357 68
scan 362893 94
scan 359166 26
scan 214548 96
scan 116335 76
scan 181960 7
scan 251540 10
scan 135722 8
scan 433693 30
scan 125224 63
scan 178796 99
scan 494055 50
scan 300309 15
scan 77925 54
scan 561456 67
scan 116335 41
scan 80292 1
scan 499982 75
scan 70710 37
scan 55981 30
scan 85772 7
scan 194707 94
insert 600001
scan 1553 72
scan 283063 8
scan 508709 31
scan 507855 45
scan 407529 40
scan 85772 64
scan 127595 40
scan 467554 54
scan 420886 26
scan 528798 14
scan 208856 5
scan 238096 98
scan 300900 36
scan 551135 88
scan 140770 35
scan 42032 19
scan 157597 90
scan 85844 36
scan 40120 10
scan 85844 75
scan 526225 32
scan 178796 81
scan 116823 12
scan 256438 72
scan 475641 5
scan 85844 11
scan 116335 24
insert 600002
scan 482412 24
scan 85772 60
scan 42032 60
insert 600003
insert 600004
insert 600005
scan 471991 19
scan 116823 90
scan 327931 5
insert 600006
scan 373872 92
scan 50918 40
scan 140397 62
scan 372346 44
scan 383392 42
scan 195982 10
scan 327931 79
scan 85844 39
scan 325251 19
scan 85844 94
scan 370071 50
scan 138650 9
scan 327931 72
scan 327931 4
scan 42032 25
scan 47729 24
scan 327931 31
scan 334525 56
scan 355912 49
scan 329888 89
scan 89885 27
insert 600007
scan 499794 82
scan 160801 90
scan 339814 42
scan 488133 40
scan 104959 39
scan 145012 39
scan 245984 26
scan 113421 100
scan 506362 14
scan 221156 38
scan 362788 71
scan 396776 86
scan 514991 18
scan 333600 4
scan 478730 92
scan 490080 85
scan 206056 86
scan 502938 3
scan 174502 35
scan 327931 11
scan 528447 72
scan 327931 74
scan 392065 25
scan 200750 29
scan 238096 97
scan 219293 71
scan 516618 7
scan 337634 89
scan 460588 40
scan 100953 42
scan 131894 82
scan 449407 44
scan 442910 10
scan 504344 82
scan 116823 33
scan 218719 67
scan 327931 88
scan 196065 81
scan 68028 48
scan 378069 12
scan 199158 7
scan 364866 40
scan 57536 22
scan 171375 10
scan 18599 14
scan 137806 37
scan 277101 46
scan 544183 39
scan 267489 22
insert 600008
scan 516925 100
scan 103015 91
scan 200750 27
scan 267489 24
scan 264223 9
scan 364448 3
scan 85351 11
scan 586391 71
scan 70935 30
scan 343309 99
scan 352877 55
scan 543118 67
scan 258499 68
scan 85844 9
scan 77611 37
scan 501833 86
scan 595600 64
scan 467822 63
scan 384608 26
scan 577988 71
scan 327931 13
scan 85844 10
scan 113421 38
scan 85844 86
scan 215290 70
scan 562721 52
scan 545152 76
scan 116335 62
scan 251540 98
scan 264652 65
scan 584083 50
scan 178796 8
scan 24842 99
scan 384608 53
scan 212513 84
scan 564102 94
scan 586165 86
scan 178796 50
scan 9302 2
scan 327931 23
scan 327931 19
scan 197394 47
insert 600009
scan 490080 34
scan 327931 76
scan 278669 68
scan 116335 39
scan 54857 4
scan 256792 77
scan 571202 88
scan 84764 14
scan 238354 98
scan 108670 63
scan 118138 90
scan 264494 32
scan 84422 96
scan 436705 77
scan 116335 81
scan 292486 9
scan 327931 57
scan 330197 44
scan 311962 86
scan 59648 56
scan 201107 76
scan 270958 29
scan 208856 38
scan 498278 43
scan 185921 44
scan 379050 16
scan 332717 41
scan 360784 88
insert 600010
scan 404172 51
scan 267489 75
scan 316702 82
insert 600011
scan 77925 34
scan 539692 34
scan 370677 65
scan 210023 48
scan 116317 43
scan 85772 37
scan 37296 66
scan 116335 93
scan 198304 47
scan 385681 81
scan 423431 80
scan 220761 12
scan 292180 2
scan 450634 93
scan 116317 54
scan 464792 6
scan 251540 2
scan 464087 11
scan 439425 3
scan 272887 87
scan 12831 23
scan 526225 58
scan 51675 11
scan 116335 59
scan 88577 81
scan 122413 100
scan 413479 79
scan 30440 93
scan 378069 35
scan 452793 69
scan 407660 13
scan 388544 24
scan 448724 28
scan 273608 55
scan 136208 86
scan 85772 31
scan 334525 53
scan 91401 79
scan 524595 25
scan 283063 74
scan 152175 38
scan 65613 47
scan 193276 96
scan 283063 93
scan 321309 22
scan 50696 41
scan 42032 53
scan 319341 32
scan 73911 95
scan 364480 96
scan 107890 20
scan 564102 44
scan 261622 97
scan 170241 59
scan 180171 32
scan 42032 87
scan 146044 93
insert 600012
scan 385748 54
scan 496991 59
scan 399838 37
scan 175845 89
scan 149895 87
scan 85844 68
scan 24686 61
scan 486566 33
scan 297597 8
scan 383392 38
insert 600013
scan 350411 42
scan 327931 97
scan 578981 19
scan 327931 75
scan 327931 3
scan 150374 14
scan 327931 78
scan 164589 52
scan 402031 96
scan 89006 74
scan 428286 63
scan 280770 62
scan 85844 85
scan 327931 95
scan 192954 23
scan 52169 86
scan 116823 98
scan 207053 75
scan 271717 61
scan 347785 37
scan 47729 58
scan 473338 10
scan 583995 77
scan 76198 29
scan 135740 97
scan 471850 66
scan 440327 23
scan 293860 54
scan 214577 100
scan 208966 26
scan 283855 94
scan 264507 72
scan 539550 5
scan 586391 98
scan 73664 88
scan 230471 49
scan 6147 63
scan 522167 6
scan 85844 76
insert 600014
scan 327931 74
scan 140770 43
scan 107568 95
scan 251540 2
scan 487122 3
scan 247864 33
scan 527883 97
scan 37296 17
scan 571746 70
scan 327931 4
insert 600015
scan 156635 26
scan 332717 39
scan 4162 78
scan 455099 2
scan 327931 26
insert 600016
scan 383392 16
scan 289846 6
scan 124665 93
scan 85844 21
scan 116823 99
scan 166448 87
scan 412425 86
scan 533762 11
scan 170650 6
scan 387313 48
scan 85844 76
scan 98578 41
scan 588586 63
scan 192816 42
scan 244203 98
scan 527565 78
scan 327931 48
scan 549333 22
scan 239552 66
scan 107495 100
scan 251540 71
scan 116823 9
scan 42032 76
scan 174502 70
scan 591470 74
scan 280044 89
scan 396015 66
scan 54860 85
scan 174502 76
scan 152172 4
scan 357243 98
scan 287565 15
scan 17235 94
scan 516925 16
scan 476477 55
scan 568068 88
scan 368215 53
scan 25525 66
scan 331168 4
scan 459421 100
scan 32459 12
scan 400050 27
scan 174502 46
scan 267216 12
insert 600017
insert 600018
scan 174502 45
scan 378069 33
scan 181718 12
scan 287776 74
scan 166448 99
scan 327931 22
scan 348698 2
scan 572017 6
scan 22980 35
scan 5708 84
scan 259263 80
scan 187889 12
scan 327931 8
insert 600019
scan 243062 17
scan 37381 32
scan 327931 90
scan 334128 98
scan 47729 25
scan 283063 49
scan 447895 80
scan 118677 8
scan 292486 24
scan 322731 93
scan 213869 48
scan 174502 23
scan 584319 29
scan 1848 7
scan 567019 17
scan 226787 94
scan 372346 82
scan 445777 2
scan 363723 46
scan 550432 85
scan 291096 59
scan 439282 46
scan 85844 57
scan 417787 13
scan 384608 8
scan 350272 29
scan 116335 33
scan 178796 37
scan 55849 24
insert 600020
scan 392980 63
scan 364702 54
scan 378069 17
scan 327931 31
scan 321571 80
scan 327931 32
scan 431644 97
scan 405787 47
scan 230320 51
scan 590112 76
scan 350411 83
scan 238096 24
scan 548961 1
scan 298420 57
insert 600021
scan 283456 67
scan 116335 76
scan 337632 88
scan 85772 89
scan 596673 50
scan 263874 58
scan 50696 59
scan 383392 82
scan 327931 52
scan 200750 83
scan 70155 56
scan 450233 87
scan 116823 73
scan 226241 19
scan 226787 24
scan 331905 16
scan 120128 42
scan 417455 56
scan 598948 92
scan 226241 52
scan 184740 83
scan 453464 37
scan 59648 66
scan 178796 6
scan 270590 10
insert 600022
scan 538218 40
scan 174502 54
scan 461547 50
scan 328972 9
scan 31002 10
scan 42492 55
scan 261973 36
scan 401431 30
scan 54860 54
scan 443152 7
insert 600023
scan 54860 81
scan 366744 1
scan 238943 35
scan 345232 10
scan 116335 20
scan 45037 81
scan 571859 9
scan 574200 71
scan 432219 66
scan 200128 57
scan 522231 49
scan 418626 87
scan 327931 1
scan 327931 44
scan 40120 32
scan 140117 70
scan 289624 56
scan 327931 39
scan 596484 91
scan 383392 83
scan 578634 83
scan 172513 41
scan 116335 51
scan 604 48
scan 135740 17
scan 467453 4
scan 256361 65
scan 384259 28
scan 327931 46
scan 62106 87
