read 156789
scan 559844 99
scan 336732 37
scan 66997 30
scan 10934 72
scan 258086 41
scan 148361 75
scan 566668 42
scan 142056 57
scan 511405 66
scan 447319 79
scan 178247 99
scan 575233 86
scan 579146 51
scan 394295 38
scan 192633 58
scan 374170 83
scan 398645 49
scan 69173 11
scan 63836 24
scan 292883 1
scan 492606 3
scan 440893 14
scan 271316 67
scan 411026 66
scan 268455 60
scan 459381 82
scan 568267 63
scan 200200 15
scan 537569 62
scan 593484 70
scan 492712 65
scan 201381 9
scan 341577 82
scan 542044 93
scan 597052 76
scan 542405 22
scan 183496 85
scan 401905 17
scan 280753 79
scan 333941 81
scan 437476 13
scan 86181 62
scan 294625 40
scan 358291 89
scan 189293 87
scan 192633 57
scan 192633 47
scan 247530 59
scan 508826 32
scan 192633 71
scan 278994 81
scan 278994 21
scan 233376 45
scan 57199 68
scan 265434 83
scan 225888 72
scan 73330 65
scan 453440 48
scan 561869 40
scan 117192 89
scan 202715 33
scan 394295 89
scan 191739 10
scan 514562 97
scan 73998 39
scan 88679 77
scan 394400 23
scan 561869 45
scan 100714 25
scan 511473 31
scan 384508 23
scan 480094 17
scan 462807 81
scan 526762 5
scan 287235 46
scan 516041 24
scan 482806 82
scan 331850 11
scan 267727 87
scan 120142 98
scan 219998 44
scan 85388 42
scan 124230 38
scan 28396 33
scan 378067 96
scan 585651 62
scan 120142 33
scan 192633 55
scan 352187 12
scan 315479 78
scan 509903 84
scan 407696 82
scan 192633 7
scan 254909 39
scan 444848 53
scan 374180 61
scan 266585 73
scan 258086 66
insert 600001
scan 555077 34
scan 447319 25
scan 424951 10
scan 575233 55
scan 396716 1
scan 275715 33
scan 354990 9
scan 278994 22
scan 192633 3
scan 106442 9
scan 192633 7
scan 375702 35
scan 192633 18
scan 515867 37
scan 203679 64
scan 456585 18
scan 81318 39
scan 174236 66
scan 162704 78
scan 294625 55
scan 294625 9
scan 352585 85
scan 297034 85
scan 223632 40
scan 192633 88
scan 447319 45
scan 183059 31
insert 600002
scan 114778 52
scan 457019 53
scan 447319 46
scan 394295 16
scan 278994 100
scan 278994 51
scan 561869 10
scan 455544 5
scan 236333 78
scan 312814 70
scan 25505 100
scan 287257 48
scan 278994 92
scan 96131 53
scan 173208 68
scan 278994 67
scan 490482 99
scan 447319 15
scan 394295 30
scan 61240 47
scan 236333 19
scan 192633 97
insert 600003
scan 48399 29
scan 192633 50
scan 331836 59
scan 404790 77
scan 455544 10
scan 112054 63
scan 408416 69
scan 206860 1
scan 92922 84
scan 192633 46
insert 600004
scan 387036 64
scan 561869 5
scan 278994 15
scan 287257 22
scan 97796 78
scan 192633 83
scan 561869 60
scan 219998 59
scan 192633 100
scan 141604 72
scan 92922 97
scan 13874 55
scan 249355 26
scan 68619 2
scan 134181 60
scan 18819 79
scan 261756 9
scan 261821 92
scan 242628 88
scan 180720 76
scan 469940 73
insert 600005
scan 447319 98
scan 465515 42
scan 7162 73
insert 600006
insert 600007
scan 41061 25
scan 177292 37
scan 99649 13
scan 141604 82
scan 473234 97
scan 338877 28
scan 69937 60
scan 33842 59
scan 287257 60
scan 589652 33
scan 202084 4
scan 192633 79
scan 287257 94
scan 7206 89
scan 103946 92
insert 600008
scan 40084 31
scan 223169 66
scan 3181 46
scan 192633 57
scan 192633 78
scan 203640 8
scan 192633 46
scan 595040 54
scan 447319 69
scan 447319 59
scan 424952 6
scan 338060 85
scan 332617 51
scan 59051 87
scan 447319 16
scan 591750 4
scan 278994 79
scan 27329 65
scan 187609 78
scan 219998 43
scan 192633 39
scan 493572 14
scan 79556 40
scan 289296 89
insert 600009
scan 192633 88
scan 167281 7
scan 436524 68
scan 5113 30
scan 561869 25
scan 598722 46
scan 334120 4
scan 564249 87
scan 446920 39
scan 31783 1
scan 575359 38
scan 50197 90
scan 219998 3
scan 17935 41
scan 272716 93
scan 457293 59
scan 186257 78
scan 362813 8
scan 20176 22
scan 511014 70
scan 333896 88
scan 101122 98
insert 600010
scan 447319 14
scan 192633 53
scan 93735 86
scan 198178 44
scan 230230 69
scan 430105 60
scan 552124 20
scan 561869 21
scan 335218 21
scan 88795 79
scan 178246 91
scan 245155 42
scan 234786 56
scan 132836 22
scan 192633 84
scan 122074 59
scan 309532 29
scan 170917 68
scan 545006 7
scan 462150 55
scan 4826 95
scan 278994 54
scan 21081 62
scan 293704 46
scan 457574 34
scan 447319 67
scan 111327 79
scan 278994 41
scan 192633 97
insert 600011
scan 324797 66
scan 561869 48
scan 495323 30
scan 192633 82
scan 445630 30
scan 317881 86
scan 178628 60
scan 59421 36
scan 319043 29
scan 316719 35
scan 490786 14
scan 553639 95
scan 455544 37
scan 93794 54
scan 401275 72
scan 278994 91
scan 273384 32
scan 206545 70
scan 182186 34
scan 243035 69
scan 351412 36
scan 62576 24
scan 352253 40
scan 466193 55
scan 216848 2
scan 502810 85
scan 192633 32
scan 588792 79
scan 573533 43
insert 600012
scan 571164 38
scan 294625 24
scan 546572 20
scan 449292 52
scan 470452 73
scan 181283 62
scan 508488 13
scan 550679 89
insert 600013
scan 549138 59
scan 192633 96
scan 364240 71
scan 52956 20
scan 332388 68
scan 278994 75
scan 561869 29
scan 297047 60
scan 112650 75
scan 192633 80
scan 379028 61
scan 493238 52
scan 162174 85
scan 220205 30
scan 556614 91
scan 192633 26
scan 414189 51
scan 310368 59
scan 172063 5
scan 274030 29
scan 216535 90
scan 539644 58
scan 561869 29
scan 284451 94
scan 184590 56
scan 294625 81
