read 531446
scan 510942 90
scan 430848 14
scan 468453 7
scan 363744 96
scan 155442 69
scan 193548 74
scan 64531 69
scan 150749 66
scan 242777 38
scan 469054 82
scan 207993 64
scan 209319 83
scan 524844 94
scan 187666 83
scan 545596 72
scan 293842 52
scan 422502 32
scan 48334 77
scan 545596 97
scan 357005 22
scan 562582 44
scan 25597 94
scan 385945 49
scan 188835 7
scan 515621 65
scan 560255 36
scan 235532 10
scan 78921 21
scan 254856 18
scan 545596 94
scan 254244 18
scan 445004 78
scan 510831 25
scan 213732 44
scan 42084 55
insert 600001
scan 548244 35
scan 99729 70
scan 100846 13
scan 304966 7
scan 373815 100
scan 78128 73
scan 172977 47
scan 562582 29
scan 545596 53
scan 449889 49
scan 545596 27
scan 591188 58
scan 286346 8
scan 145106 93
scan 71989 43
scan 401332 56
scan 77792 84
scan 295861 28
scan 222299 79
scan 460882 93
scan 17634 90
scan 390074 41
scan 480566 29
scan 215901 39
scan 438451 11
scan 311810 19
scan 387059 1
scan 535280 50
scan 71989 29
scan 577585 47
scan 46094 49
scan 164074 13
scan 446271 86
scan 336075 7
scan 382082 97
scan 470863 86
scan 207816 53
scan 62916 31
scan 361314 95
scan 356410 92
scan 25918 56
scan 16800 46
scan 545596 54
scan 554012 86
scan 505553 74
scan 283454 48
scan 545596 73
scan 133191 93
scan 550668 88
scan 319684 85
scan 515328 94
scan 420117 15
scan 431680 3
scan 562582 69
scan 366905 7
scan 161708 22
scan 403960 1
scan 435331 20
scan 186829 76
scan 545596 36
scan 3709 15
scan 381730 70
scan 398828 100
scan 473769 49
scan 435141 30
scan 590030 43
scan 93033 23
scan 410718 96
scan 376769 52
insert 600002
scan 3239 18
scan 557650 51
scan 192489 13
scan 545596 11
scan 545596 6
insert 600003
scan 168305 10
scan 153664 57
scan 574028 84
scan 78385 84
scan 577585 9
insert 600004
scan 310799 59
insert 600005
scan 15206 49
scan 436536 54
scan 437983 56
scan 464084 19
scan 246923 80
scan 318349 59
scan 545596 89
scan 545596 2
scan 120891 79
scan 8063 50
scan 304259 6
scan 158137 99
scan 206662 2
scan 577585 4
scan 188920 17
