read 295831
scan 312338 44
scan 159248 86
scan 161101 70
scan 6993 31
scan 159248 42
scan 35694 83
scan 73997 90
scan 456385 40
scan 445043 99
scan 236007 82
scan 138979 84
scan 418898 29
scan 331514 95
scan 86033 45
scan 131791 43
scan 964 40
scan 11555 62
scan 200065 80
scan 137578 8
scan 299270 9
scan 181333 19
insert 600001
scan 295020 98
scan 260209 91
scan 341604 39
insert 600002
scan 35694 97
scan 357315 76
insert 600003
scan 428139 10
scan 177839 48
scan 489770 88
scan 549866 39
scan 35694 12
scan 341316 89
scan 138979 49
scan 3315 71
scan 236352 38
scan 589315 13
scan 533556 38
scan 190549 9
scan 541419 38
scan 66169 48
scan 417782 12
scan 375670 79
scan 421998 14
scan 261583 4
scan 260489 58
scan 512455 8
scan 495649 65
scan 389333 61
scan 461072 52
scan 28239 14
scan 137578 95
scan 319351 68
scan 35694 69
scan 560834 77
scan 445924 73
scan 35694 75
scan 59101 69
scan 412508 97
scan 534511 77
scan 340023 89
insert 600004
scan 93857 29
scan 290054 52
scan 278558 28
scan 138979 60
scan 57957 82
scan 270929 26
scan 141215 80
scan 561823 79
scan 428220 17
scan 11405 85
scan 43205 34
scan 236928 33
scan 234372 81
scan 73997 79
scan 137578 78
scan 332320 15
scan 138979 93
scan 192119 84
scan 265081 26
scan 472394 68
scan 441750 88
scan 478989 71
scan 81900 79
scan 171607 97
scan 73997 80
scan 254827 95
scan 86962 58
scan 401595 42
scan 419664 2
scan 99706 75
scan 137578 41
insert 600005
scan 35694 66
scan 244832 39
scan 137189 26
scan 321072 87
scan 485185 66
insert 600006
scan 502781 16
scan 443606 41
scan 460894 89
scan 458297 34
scan 223472 18
scan 261583 58
scan 294690 53
scan 584665 74
scan 353769 28
scan 493187 53
scan 54836 40
scan 484648 76
scan 151032 92
scan 493187 62
scan 146276 21
scan 379588 26
scan 35694 100
scan 490642 69
scan 236928 15
scan 64636 37
scan 441542 97
scan 450701 14
scan 582606 21
scan 70381 30
scan 73997 15
scan 273285 55
scan 223984 87
scan 262523 7
scan 187072 2
scan 263248 24
insert 600007
scan 7657 95
scan 137578 82
scan 169749 69
scan 93857 3
scan 436043 95
scan 538900 4
scan 362430 10
scan 567737 98
scan 137578 31
scan 485950 70
scan 70380 45
scan 389259 41
scan 430396 74
scan 533255 1
scan 293431 21
scan 505743 26
scan 136629 16
scan 126101 86
scan 168160 24
scan 344033 78
insert 600008
scan 460010 24
scan 196198 52
scan 236692 84
scan 452655 17
scan 510375 36
scan 25050 12
scan 582227 72
scan 230940 68
scan 245097 85
scan 35694 2
scan 450361 77
scan 13687 43
scan 434818 46
scan 340543 46
scan 533933 14
scan 199355 65
scan 70608 37
scan 506000 67
scan 103714 8
scan 58190 93
scan 423740 68
scan 93857 20
scan 40942 12
scan 387403 39
scan 107706 4
scan 506960 10
scan 138979 9
scan 329734 44
insert 600009
scan 163173 7
scan 396302 59
scan 186055 8
scan 312744 71
scan 35694 13
scan 35694 12
scan 129240 29
scan 366069 81
scan 13186 21
scan 256704 69
scan 523176 43
scan 276318 42
scan 301010 52
scan 131791 41
scan 573435 85
scan 137578 93
scan 71026 29
scan 130783 15
scan 289926 56
scan 485244 26
scan 35694 50
scan 35694 93
scan 262778 9
scan 35694 83
insert 600010
scan 265081 76
scan 356362 49
scan 374081 92
scan 312338 23
insert 600011
scan 599603 19
scan 35694 9
scan 240645 26
scan 236928 10
scan 19385 91
scan 540415 73
scan 15043 6
scan 7657 50
insert 600012
scan 391359 27
scan 177219 96
scan 162428 35
scan 16804 1
scan 137578 50
scan 35694 84
scan 33846 32
scan 77079 59
scan 462431 45
scan 579827 55
scan 180614 36
scan 73462 19
scan 192119 16
scan 35694 73
scan 208365 50
scan 167142 23
scan 308383 88
scan 35694 9
scan 572517 4
scan 35694 96
insert 600013
insert 600014
scan 289389 18
scan 272951 37
scan 447096 94
scan 344415 8
scan 446439 66
scan 330502 61
scan 460894 61
scan 273891 42
scan 263248 80
scan 565496 48
scan 116062 94
scan 93857 18
scan 553480 38
scan 343441 70
scan 340015 82
scan 102328 98
scan 553480 52
scan 279088 11
scan 261661 13
scan 77614 67
scan 232636 84
scan 303556 2
scan 96688 62
scan 569580 37
scan 136257 36
insert 600015
scan 35694 39
scan 35694 25
insert 600016
scan 351411 71
scan 138979 58
scan 155261 34
scan 147189 56
scan 527983 2
scan 354701 60
scan 35694 74
scan 34241 25
scan 69887 80
scan 566921 2
scan 518970 8
scan 138979 45
scan 137578 50
scan 105938 61
scan 137578 46
scan 560346 14
scan 559245 60
scan 583625 27
scan 219091 32
scan 312885 58
scan 553480 12
scan 131791 28
scan 73997 37
scan 245552 4
scan 250047 12
scan 263248 74
scan 335502 51
scan 391671 46
scan 490479 27
scan 169191 7
scan 185610 65
scan 138979 16
scan 296986 29
scan 137578 100
scan 35694 30
scan 446651 27
insert 600017
scan 236928 68
insert 600018
scan 208880 47
insert 600019
scan 173172 40
scan 98131 16
scan 213911 20
scan 474553 72
scan 236928 25
scan 553480 62
scan 509930 60
scan 584665 3
scan 518647 93
insert 600020
scan 125845 84
scan 541518 82
scan 252609 21
scan 455117 57
scan 241781 57
scan 43205 43
scan 236897 32
scan 458476 26
scan 137578 94
scan 35694 80
scan 408219 95
scan 35694 73
scan 545356 70
scan 141349 20
scan 35694 93
scan 493627 54
