read 523478
scan 65248 52
scan 39160 49
scan 49515 55
scan 432754 32
scan 332945 16
scan 8045 2
scan 125735 36
scan 29971 62
scan 469410 58
scan 363623 33
scan 232435 6
scan 160756 65
scan 481821 39
scan 432754 5
scan 377373 32
scan 542809 71
scan 191480 35
scan 90527 33
scan 550403 16
scan 90687 65
scan 587542 81
scan 358993 91
scan 172860 86
scan 223849 95
scan 452242 80
scan 361090 51
scan 150390 74
scan 534303 53
scan 452242 78
scan 238794 47
scan 129113 99
scan 432754 77
scan 413449 75
scan 381195 44
insert 600001
scan 435714 38
insert 600002
scan 86882 99
scan 42378 80
scan 383762 59
scan 525731 80
insert 600003
scan 450100 56
scan 181553 5
scan 427844 31
scan 463818 98
scan 360072 57
scan 212616 17
scan 487686 80
scan 473152 30
scan 238794 10
scan 3900 74
scan 194059 7
scan 387920 59
insert 600004
scan 590339 42
scan 279017 81
scan 525731 89
scan 551285 64
scan 415435 3
scan 325727 72
scan 210292 32
scan 563265 16
scan 538979 68
scan 431211 76
scan 500833 90
scan 432754 79
scan 292935 47
scan 525731 12
scan 432754 63
scan 558494 22
scan 432754 41
scan 525731 20
scan 372128 77
scan 406496 71
insert 600005
scan 13934 1
scan 525731 56
scan 525731 99
scan 130502 55
scan 533586 28
scan 432754 16
scan 121290 48
scan 238794 9
scan 363623 13
scan 344943 71
scan 238794 95
insert 600006
scan 239308 63
insert 600007
scan 525731 8
scan 275115 20
scan 127406 14
scan 525731 58
scan 49659 56
scan 174059 100
scan 359566 90
scan 361840 20
scan 45760 15
scan 462182 55
scan 396826 90
scan 73923 12
scan 522374 32
scan 73660 36
scan 591557 95
scan 480110 4
scan 498884 74
scan 429227 24
scan 3900 81
scan 26509 40
scan 18800 54
scan 525731 94
scan 11088 69
scan 525731 66
scan 238794 32
scan 522891 81
scan 494864 96
scan 229251 15
scan 304341 98
scan 309017 22
scan 363623 25
scan 224738 5
scan 254218 3
scan 396039 93
scan 525731 39
scan 70019 81
scan 178937 36
scan 525731 22
insert 600008
scan 414080 6
scan 525731 65
scan 477308 70
scan 549650 44
scan 323091 70
scan 65248 41
scan 139759 89
scan 265472 98
scan 89302 30
scan 139079 31
scan 18322 36
scan 498193 85
scan 295033 81
scan 195612 87
scan 556094 92
scan 200248 81
scan 51142 5
insert 600009
scan 597331 36
scan 432754 52
scan 468972 70
scan 524282 67
scan 560870 33
scan 450262 17
scan 271398 91
scan 557613 53
scan 343150 81
scan 577197 34
scan 142150 61
scan 162854 56
scan 184784 5
scan 522374 50
scan 384979 33
scan 370095 78
scan 415435 53
scan 318292 62
scan 525731 12
scan 168011 40
scan 501195 44
scan 591793 7
scan 42378 82
scan 448362 21
scan 282693 5
scan 265472 30
scan 238794 41
scan 490357 54
scan 332945 83
scan 345221 96
scan 127031 91
scan 504437 91
scan 383762 20
scan 583511 47
scan 201219 55
scan 432754 68
scan 525731 39
insert 600010
scan 119050 5
scan 395170 51
scan 311223 56
scan 238463 68
scan 473112 16
scan 13849 34
scan 500271 95
scan 564886 71
scan 578671 94
scan 254706 23
scan 96231 52
scan 263053 33
insert 600011
scan 213171 25
scan 112672 77
scan 259239 27
insert 600012
scan 421440 30
scan 129170 67
scan 525731 53
scan 65248 81
insert 600013
scan 287914 97
scan 489253 98
scan 238794 5
scan 17589 36
scan 238794 78
scan 414528 14
scan 191657 73
scan 525731 9
scan 3900 36
scan 228171 19
scan 116517 22
scan 581112 65
scan 163305 60
scan 454162 11
scan 140397 38
scan 352884 96
scan 492826 5
scan 10916 3
scan 525731 5
scan 518703 15
scan 200248 48
scan 285966 72
scan 238794 18
scan 182232 10
scan 238463 48
scan 130502 19
scan 402172 55
scan 308376 11
scan 525731 20
scan 307441 28
scan 517407 53
scan 133117 34
scan 396696 33
insert 600014
scan 471545 88
scan 97977 3
scan 192774 71
scan 355636 60
insert 600015
scan 95879 50
scan 84126 22
scan 302028 11
scan 200248 88
insert 600016
scan 180541 51
scan 459339 78
scan 219690 98
scan 432754 80
scan 432754 55
scan 525731 35
insert 600017
scan 584261 11
scan 291698 66
scan 189276 93
scan 259239 71
scan 481821 21
scan 73798 77
scan 525731 27
scan 347068 36
scan 546282 54
scan 18829 26
scan 271214 38
scan 433265 49
scan 3900 51
scan 487686 30
scan 16692 72
scan 180367 46
scan 504832 50
insert 600018
scan 64987 69
scan 3900 46
scan 352381 98
scan 463004 42
scan 21220 84
scan 186890 88
scan 162045 21
scan 259239 99
scan 525731 72
scan 525731 55
insert 600019
scan 36412 41
scan 255996 18
scan 200248 74
scan 332945 67
scan 332945 50
scan 46543 12
scan 130502 90
scan 414923 9
scan 498884 85
scan 78333 15
scan 343153 39
scan 307452 65
scan 59270 4
scan 206712 22
scan 96568 79
scan 476999 32
scan 238794 12
scan 577780 86
scan 231513 71
scan 46204 96
scan 146062 27
scan 79840 53
scan 422178 95
scan 556094 16
scan 238794 45
scan 445032 11
scan 542216 94
scan 343019 43
scan 275305 34
scan 498884 14
scan 277591 38
scan 163305 57
scan 130502 14
scan 353486 51
scan 3900 38
scan 3900 52
scan 3900 97
scan 317736 93
scan 238794 39
scan 174043 37
scan 448479 63
scan 376793 28
scan 238794 99
scan 192875 56
scan 568852 82
scan 103094 24
scan 247955 24
scan 525731 16
scan 448334 29
scan 236594 11
scan 309800 38
scan 29971 50
scan 84504 32
scan 122332 68
scan 441659 98
insert 600020
scan 125540 72
scan 363623 23
scan 508977 11
scan 435873 99
scan 141080 13
scan 76400 62
scan 432838 13
scan 432754 20
scan 200248 29
scan 94661 93
scan 272344 62
scan 102365 32
scan 525731 92
scan 347880 42
scan 11859 71
scan 135804 19
scan 432754 60
scan 554142 75
scan 105651 59
scan 121129 31
scan 332945 4
