read 476044
scan 574116 23
scan 421585 49
scan 241872 15
scan 91720 26
scan 316516 4
scan 153713 14
scan 47122 18
scan 331290 99
scan 91720 94
scan 8177 98
scan 153278 39
scan 253819 46
scan 574910 34
scan 242708 13
scan 309612 92
scan 304156 29
scan 471835 79
scan 375886 83
scan 91720 13
scan 5155 31
scan 389959 14
scan 129286 37
scan 225377 33
scan 91720 87
scan 175490 1
scan 383612 46
scan 397064 59
scan 308389 92
scan 91720 10
scan 399001 56
scan 512381 72
scan 149483 12
scan 252492 21
scan 164233 73
scan 94525 39
scan 144614 38
scan 421585 54
scan 376063 47
scan 479121 55
scan 429149 40
scan 272802 92
scan 92974 52
scan 421585 8
scan 138122 50
scan 128277 24
scan 138788 46
scan 159409 90
scan 149483 26
scan 576352 98
scan 61426 88
scan 416941 4
scan 257344 60
scan 448811 25
scan 283120 90
scan 46093 94
scan 550157 63
scan 152033 82
scan 94013 21
scan 376063 96
scan 91720 16
scan 562779 99
scan 193494 4
scan 460644 17
insert 600001
scan 237655 57
scan 91720 55
scan 421585 74
scan 57988 44
scan 376063 78
scan 300527 36
scan 225377 53
scan 216385 8
scan 114828 6
scan 540810 23
scan 91720 49
scan 12027 55
scan 174423 3
scan 10105 45
scan 140870 64
scan 375209 37
scan 219092 13
scan 91720 55
scan 589167 89
scan 381289 67
scan 149483 63
scan 133555 44
scan 512984 83
scan 135969 8
scan 366910 71
scan 515457 20
scan 384250 1
scan 235847 41
scan 17374 17
scan 372922 11
scan 18902 98
scan 335104 91
scan 358145 22
scan 241872 87
insert 600002
scan 417232 52
scan 241471 99
insert 600003
scan 347223 89
scan 160855 40
scan 52347 37
scan 342063 89
insert 600004
scan 214469 18
scan 63090 68
scan 8177 64
scan 571334 80
scan 552853 47
scan 225377 12
scan 84124 43
scan 464245 33
scan 93872 82
scan 61210 6
scan 589167 73
scan 587339 11
scan 115255 74
scan 500438 83
scan 349246 23
scan 198211 1
scan 385066 87
scan 402361 40
scan 530663 21
scan 376063 90
scan 225377 42
scan 172646 55
scan 159409 75
scan 46093 27
scan 182323 62
insert 600005
scan 356346 48
scan 489749 100
scan 376063 70
scan 359565 3
scan 91720 36
scan 241872 76
scan 46295 63
scan 425166 19
scan 24349 82
scan 173842 6
scan 149483 90
scan 265569 92
scan 25434 57
scan 57638 11
scan 571171 75
insert 600006
scan 141946 29
scan 94990 75
scan 8177 25
scan 325992 35
scan 252492 52
scan 108988 85
scan 376063 84
scan 538088 16
scan 317106 41
scan 336090 8
scan 159774 20
scan 220533 25
scan 524233 42
scan 165724 99
scan 72088 50
scan 406485 25
insert 600007
scan 128552 24
scan 311149 46
scan 508689 77
scan 455550 58
scan 159409 29
scan 149483 91
scan 91720 9
scan 319043 74
scan 493584 12
scan 374170 12
scan 91720 87
scan 420280 30
scan 292765 28
scan 449059 73
scan 481529 68
scan 420083 95
scan 138093 78
scan 8279 84
scan 148589 17
scan 127651 42
scan 158780 24
scan 414820 66
scan 207044 62
scan 297417 38
scan 301994 57
scan 299338 75
scan 589167 80
scan 305961 68
scan 233919 35
scan 308195 97
scan 123799 95
scan 471835 51
scan 554178 49
scan 37455 13
scan 262295 36
scan 418593 22
scan 511272 82
scan 91720 43
scan 378537 5
scan 75128 76
scan 91720 3
scan 89771 82
scan 493584 38
scan 46099 89
scan 68490 63
scan 195135 22
scan 376063 78
scan 108280 69
insert 600008
scan 455138 1
scan 404036 52
scan 442430 23
insert 600009
scan 123259 72
scan 178577 17
scan 456342 93
scan 245330 96
scan 271044 85
scan 419765 80
scan 465306 21
scan 30328 97
insert 600010
scan 221789 70
scan 232312 53
scan 387610 93
scan 57988 61
scan 300555 12
scan 278584 6
insert 600011
scan 91720 5
scan 440431 43
scan 14399 82
scan 241872 19
scan 493369 19
scan 241872 67
scan 413103 14
scan 124878 33
scan 91720 66
scan 85808 18
scan 575276 19
scan 149483 32
scan 135757 43
scan 377497 98
insert 600012
scan 149483 44
scan 299561 94
scan 209566 46
scan 249727 12
scan 582396 12
scan 46093 68
scan 91720 32
scan 241872 3
scan 213548 5
scan 68685 54
scan 149483 37
scan 55534 31
scan 2350 46
scan 125726 1
scan 200832 23
scan 581118 34
scan 91720 56
scan 57988 72
scan 396868 25
scan 515457 82
scan 262970 73
scan 239220 73
scan 84124 69
scan 593734 62
scan 91720 17
scan 226781 49
scan 260752 58
scan 499450 35
scan 71996 46
scan 232287 3
scan 202611 40
scan 403751 23
scan 229990 6
insert 600013
scan 439849 1
scan 248519 27
scan 40228 68
scan 91720 43
scan 200832 31
scan 118452 62
scan 349383 65
scan 446432 24
scan 91720 14
scan 413972 14
scan 475715 5
scan 338473 94
scan 357276 91
scan 91720 45
scan 79656 84
scan 369282 22
scan 89680 55
scan 105141 63
scan 451626 59
scan 557840 50
insert 600014
scan 433732 86
scan 251827 2
scan 330400 41
scan 567945 7
scan 300497 93
scan 33349 89
scan 315312 12
scan 195740 37
scan 419976 24
scan 61305 56
scan 226932 85
scan 349246 29
scan 91720 67
scan 160238 60
scan 149483 36
scan 243716 68
scan 241637 3
scan 195135 98
scan 589167 100
insert 600015
scan 139770 13
scan 317538 12
scan 91720 5
scan 159409 71
scan 358145 87
insert 600016
scan 189396 39
scan 91720 14
scan 481372 82
scan 471262 73
insert 600017
scan 313159 85
scan 99905 76
scan 245950 26
insert 600018
insert 600019
scan 362549 88
scan 384339 84
scan 34738 76
scan 592920 92
scan 55426 85
scan 61838 38
scan 536120 52
scan 166166 98
scan 421585 41
scan 321943 84
scan 73853 98
scan 236136 59
scan 258415 52
scan 91720 12
scan 225702 9
scan 189101 54
scan 332235 54
insert 600020
scan 493556 30
scan 476546 56
scan 305936 40
scan 290825 88
scan 64351 57
scan 84124 49
scan 115565 33
insert 600021
scan 516602 47
scan 91720 56
scan 148607 17
scan 91720 83
scan 467020 7
scan 1157 84
scan 149483 84
scan 589431 66
scan 302713 92
scan 7986 52
scan 244418 74
scan 149483 41
scan 295464 67
scan 83565 68
scan 142495 99
scan 305197 58
scan 91720 34
scan 433316 54
scan 485713 46
scan 308381 98
scan 149483 69
scan 165724 11
scan 159409 74
scan 177059 53
scan 299184 63
scan 60105 8
scan 300547 98
scan 10221 93
scan 412462 96
scan 538598 38
scan 582609 90
scan 468183 80
scan 191565 35
scan 447766 61
scan 111705 39
scan 589271 86
scan 588444 94
scan 494468 99
scan 421585 87
scan 181293 10
scan 319706 6
scan 131865 48
scan 47783 34
scan 468183 65
scan 13641 33
scan 132523 21
scan 421585 28
scan 558612 99
scan 413877 46
scan 339145 36
scan 149483 88
scan 387839 90
scan 149483 15
scan 241872 23
insert 600022
scan 360036 32
scan 373078 59
insert 600023
insert 600024
scan 106598 8
scan 75073 91
scan 144620 31
scan 72883 23
scan 221883 96
scan 421585 11
