read 487663
scan 225636 72
scan 558081 23
scan 117106 67
scan 163470 1
scan 399996 35
scan 212386 5
scan 83606 64
insert 600001
scan 297473 55
scan 498622 97
scan 117106 59
scan 538199 37
scan 425230 19
scan 378431 60
scan 566669 56
scan 280642 31
scan 484175 44
scan 268181 76
scan 590684 20
scan 134621 72
scan 569197 5
scan 268181 28
scan 68521 66
scan 378979 98
scan 210159 21
scan 237838 72
scan 504031 77
scan 117106 44
scan 167462 81
scan 488214 1
scan 68825 62
scan 12974 68
scan 420563 53
scan 215080 33
scan 287215 26
scan 11064 17
scan 268181 77
scan 352443 76
scan 443991 14
scan 548712 83
scan 279164 66
scan 410469 43
scan 432280 57
scan 419391 67
scan 349622 23
scan 545173 64
scan 305783 33
scan 147799 90
scan 383012 98
scan 171553 24
scan 34701 82
scan 527023 100
scan 494065 81
scan 400557 70
scan 574401 95
scan 67285 64
scan 82365 49
scan 218159 49
insert 600002
scan 91847 87
scan 409624 16
scan 474781 36
scan 465470 96
scan 82403 58
scan 45079 89
scan 163470 75
scan 463287 46
scan 462728 59
scan 577192 87
scan 310611 81
scan 6216 42
scan 360111 28
scan 473749 97
insert 600003
scan 288992 76
scan 375278 56
scan 463287 96
scan 241079 2
scan 443769 43
scan 569197 18
scan 392827 49
scan 463287 16
scan 395103 39
scan 117106 82
scan 76955 28
scan 519550 41
scan 295565 31
scan 348846 55
scan 117106 85
scan 463287 58
scan 225636 11
scan 573393 18
scan 84334 14
scan 265384 68
scan 506978 74
scan 115104 16
scan 463287 61
scan 510916 75
scan 380438 57
scan 89685 21
scan 489951 100
scan 554917 35
scan 163364 31
scan 92497 22
scan 402370 44
scan 58660 64
scan 405416 5
scan 551170 17
scan 107827 73
scan 205321 93
scan 537517 79
scan 400663 55
scan 117106 67
scan 380438 30
scan 340881 34
scan 3639 32
scan 73515 27
scan 77330 44
insert 600004
scan 68521 38
scan 287240 72
scan 463287 21
scan 508557 62
scan 401450 11
scan 52721 26
scan 574401 2
scan 206764 12
scan 72775 42
scan 299861 20
scan 566038 82
scan 14501 38
scan 259832 81
insert 600005
scan 120431 100
scan 517253 100
scan 225490 63
scan 163470 62
scan 11064 100
scan 362057 11
scan 463287 35
scan 80226 24
scan 399177 12
scan 484868 9
scan 332091 97
scan 26313 87
scan 162628 97
scan 485 67
scan 310856 48
scan 463287 94
scan 481220 49
scan 201777 34
scan 118014 41
scan 29825 43
scan 161924 85
scan 1550 25
scan 576784 44
scan 163470 5
scan 463287 42
scan 584768 52
scan 443991 24
scan 29825 13
scan 310259 69
scan 342412 3
scan 103336 34
scan 417012 30
scan 347700 54
scan 399177 98
insert 600006
scan 583408 64
scan 486596 94
scan 574480 16
scan 211556 82
scan 184803 98
scan 388958 73
scan 174968 38
scan 334967 91
scan 466189 87
scan 591971 52
scan 463287 20
scan 97106 83
scan 124930 49
scan 134409 25
scan 382491 80
scan 364306 79
scan 566066 32
scan 302733 91
scan 432955 67
scan 29825 6
scan 297639 87
scan 463287 17
scan 154092 80
scan 406087 76
scan 237480 84
scan 91626 71
insert 600007
insert 600008
scan 241835 16
scan 288911 89
scan 370862 41
scan 129237 29
scan 318230 20
scan 520649 83
insert 600009
scan 3368 9
scan 134267 97
scan 545127 61
scan 378153 41
scan 463287 71
insert 600010
scan 592547 31
scan 163470 82
scan 191849 74
scan 111458 37
scan 220934 37
scan 455549 71
scan 488890 63
scan 543180 71
scan 440594 70
scan 588877 47
scan 131945 77
insert 600011
scan 355822 29
scan 328935 84
scan 163470 52
scan 233368 89
scan 331000 1
scan 581174 16
scan 414895 2
scan 574401 29
scan 362580 31
insert 600012
scan 569197 97
scan 279328 70
scan 482998 45
scan 525677 86
scan 440521 54
scan 268181 56
scan 584580 37
scan 544826 54
scan 594766 78
scan 38943 73
scan 471184 70
scan 268181 42
scan 364797 66
scan 25406 85
scan 109750 91
scan 41298 85
scan 244452 63
scan 538389 33
scan 217988 86
scan 6216 62
insert 600013
scan 268181 36
scan 286106 3
scan 234639 40
scan 349622 44
scan 197079 66
scan 224789 59
scan 481802 48
scan 499911 36
scan 123664 50
scan 54404 69
scan 251597 40
scan 462989 81
insert 600014
scan 369992 11
scan 133387 7
scan 146535 77
scan 216885 28
scan 117106 66
insert 600015
scan 18530 32
scan 480216 98
scan 551101 77
scan 519579 9
scan 137893 78
scan 253087 96
scan 498030 92
insert 600016
scan 442834 55
scan 223182 43
scan 526182 59
scan 117106 31
scan 527231 84
insert 600017
insert 600018
scan 358629 69
scan 463287 91
scan 143645 79
scan 394110 15
scan 72775 70
scan 384876 19
scan 268181 40
scan 255044 68
scan 115104 95
scan 11754 24
scan 349622 86
scan 566416 34
scan 440301 96
scan 72775 90
scan 527023 44
scan 584963 5
scan 205321 2
scan 268181 72
scan 314826 76
scan 251990 76
scan 117106 33
scan 543230 35
scan 550819 60
scan 268181 8
scan 589023 9
scan 117106 48
scan 108503 75
scan 124572 33
scan 75678 100
scan 77267 4
scan 385090 79
scan 150747 19
scan 77330 33
scan 504905 14
scan 153328 64
scan 268181 17
scan 444927 47
scan 117106 32
scan 509458 1
scan 163470 29
scan 529531 19
scan 482202 2
scan 319910 29
insert 600019
scan 30577 32
scan 163470 7
scan 352443 75
scan 118988 3
scan 115104 51
scan 29825 2
scan 487164 74
scan 163470 36
scan 268181 74
scan 117106 33
scan 562897 40
scan 360450 19
scan 591971 6
scan 241835 57
scan 535498 17
scan 245197 88
scan 163470 99
scan 502616 21
scan 162628 43
scan 353560 4
scan 35324 17
scan 268181 34
scan 162628 29
scan 56195 90
scan 229818 90
scan 454167 25
scan 225636 14
scan 207929 39
scan 554403 87
scan 124732 34
scan 544819 23
scan 544513 31
scan 466655 61
scan 381020 29
scan 536759 29
scan 117174 52
insert 600020
scan 227754 89
scan 183424 54
scan 77330 32
scan 361835 25
scan 29825 65
scan 413543 89
scan 552022 100
insert 600021
scan 452629 53
scan 297473 38
insert 600022
scan 256701 39
scan 144279 74
insert 600023
scan 124047 35
scan 463287 29
scan 542963 82
scan 198305 58
scan 360124 36
scan 113551 7
scan 82059 25
scan 162510 90
scan 234701 4
scan 293734 2
scan 77330 92
scan 410901 64
scan 260761 23
scan 20620 79
scan 69191 65
scan 277922 5
scan 531801 70
scan 393460 65
scan 579025 17
insert 600024
scan 302994 26
scan 327764 95
insert 600025
scan 225636 50
scan 186500 53
scan 362551 25
scan 279164 30
scan 116277 65
scan 438010 65
scan 352443 29
scan 439999 45
scan 463287 31
scan 42099 35
scan 521377 34
scan 386876 69
scan 186742 74
scan 171667 14
scan 263669 76
scan 399177 7
scan 576499 66
scan 268181 17
scan 1869 82
scan 30856 23
scan 345872 93
scan 256647 89
insert 600026
scan 538552 19
scan 102559 39
scan 3395 52
scan 111372 58
scan 546790 100
scan 530710 90
scan 162628 25
scan 134209 61
scan 389262 11
scan 437861 52
scan 174523 40
scan 550189 96
scan 463287 72
scan 314826 87
scan 191044 91
scan 310259 34
scan 163704 67
scan 297473 54
scan 64462 82
scan 147799 11
scan 75678 39
scan 268181 40
scan 301622 14
scan 361105 71
scan 517012 16
scan 424340 93
scan 411077 97
scan 268181 13
scan 473970 32
scan 457508 2
scan 267121 37
scan 202226 74
scan 513577 80
scan 44831 85
scan 376139 77
scan 76413 8
scan 535082 79
scan 268181 31
scan 356345 76
scan 268181 59
scan 349622 95
scan 463287 18
scan 591971 46
scan 316061 30
scan 162628 15
scan 445130 14
scan 349767 98
scan 314504 93
scan 42653 77
scan 432081 85
scan 555631 28
scan 470332 61
scan 217400 10
scan 138346 51
scan 79294 71
scan 49651 15
scan 163470 30
scan 587857 45
scan 104951 83
scan 290381 27
scan 204731 75
scan 349622 56
scan 342256 16
scan 83227 88
scan 310259 85
scan 90496 90
insert 600027
scan 557911 89
scan 406544 41
scan 510935 65
scan 39971 74
scan 463287 3
scan 463287 25
scan 162628 21
scan 455500 34
scan 302197 36
scan 51512 22
scan 335640 5
insert 600028
scan 426878 27
scan 426353 54
scan 234095 21
scan 514569 78
scan 121692 69
scan 261809 88
scan 191849 10
scan 79294 87
scan 100378 73
scan 417997 87
scan 269955 62
scan 164552 41
scan 54610 52
