read 164904
scan 59995 12
scan 312715 11
scan 543240 29
scan 210268 100
scan 7668 4
scan 452461 78
scan 360416 6
scan 208603 43
scan 282338 81
scan 452461 33
scan 489659 45
scan 121443 71
scan 259348 100
scan 376976 87
scan 57849 43
scan 25428 77
scan 56676 19
scan 56427 98
scan 283571 76
scan 257046 86
scan 518858 45
scan 407127 22
scan 126472 47
scan 81558 47
scan 52473 61
insert 600001
scan 452461 30
scan 452461 77
scan 73781 54
scan 114164 44
insert 600002
scan 396413 79
scan 1114 4
scan 52473 32
insert 600003
scan 347237 68
scan 193963 44
scan 56096 58
scan 88619 79
scan 253934 92
scan 282338 60
scan 576533 35
scan 567752 92
scan 578515 14
scan 414946 15
scan 555799 52
scan 452461 36
scan 282418 35
scan 45327 32
scan 312715 97
scan 54818 30
scan 283917 8
scan 52473 14
insert 600004
scan 561929 96
scan 495923 66
insert 600005
scan 166789 73
scan 52473 37
scan 96795 80
scan 495495 11
scan 151679 18
scan 56231 72
scan 194235 80
scan 452461 44
scan 441465 96
scan 341309 83
scan 151155 71
scan 452461 61
scan 590153 20
scan 462368 54
scan 167368 81
scan 127659 34
scan 452461 23
scan 452461 17
scan 466702 91
scan 233480 93
scan 139882 94
scan 295663 4
scan 549395 16
scan 312715 29
scan 251432 83
scan 172229 47
scan 97601 100
insert 600006
scan 452461 85
scan 302488 9
insert 600007
scan 469799 62
scan 150248 98
scan 552382 50
scan 366881 83
scan 443347 53
scan 296478 58
scan 596624 31
scan 550346 67
scan 598841 6
scan 588859 100
scan 449987 72
scan 407518 58
scan 174294 18
scan 128303 77
scan 559142 25
scan 588859 22
scan 72074 67
scan 114138 99
scan 44042 10
scan 312715 39
scan 192923 20
scan 312715 89
scan 465943 51
scan 456457 6
scan 150248 49
scan 564556 6
scan 208603 83
scan 135591 2
scan 564357 33
scan 172781 96
scan 7538 19
scan 315485 2
scan 555743 99
scan 452461 21
scan 312715 52
scan 194819 79
scan 38656 61
scan 452461 5
insert 600008
insert 600009
scan 432867 1
scan 155489 7
scan 32437 34
scan 407128 76
scan 524431 92
scan 312715 72
scan 316432 73
insert 600010
scan 564357 66
scan 490470 66
scan 316227 76
scan 246010 91
scan 72274 61
scan 537072 75
scan 79318 38
scan 353395 76
scan 266647 36
scan 270904 81
scan 174294 66
scan 149879 86
scan 490470 32
scan 312715 90
scan 208835 34
scan 345664 27
scan 279603 92
