read 543164
scan 536330 96
insert 600001
scan 370609 17
scan 463855 19
scan 514017 27
scan 364916 18
scan 152040 96
scan 130424 98
scan 147441 89
scan 231538 57
scan 535055 87
insert 600002
scan 571554 35
scan 364916 73
scan 130330 59
scan 144536 94
scan 212268 15
scan 262981 92
scan 220468 57
scan 423810 1
scan 550145 29
scan 385938 2
scan 220468 50
scan 386790 49
scan 495701 72
scan 493313 14
scan 562818 98
scan 537736 5
scan 470978 93
scan 533400 44
scan 155198 19
scan 529975 96
scan 132751 63
scan 537736 86
scan 537736 99
scan 569513 86
scan 32890 51
insert 600003
scan 131721 69
scan 170783 32
insert 600004
scan 169659 39
scan 37408 94
scan 2461 23
scan 537736 44
scan 249182 40
scan 230229 95
scan 515444 7
scan 71914 11
scan 463567 48
scan 433859 92
scan 375984 22
scan 331235 66
scan 418482 15
scan 501767 29
scan 24868 35
scan 255162 42
scan 200835 69
scan 386790 44
scan 200835 47
insert 600005
scan 255162 57
scan 466249 74
scan 173285 42
scan 537736 8
scan 507602 78
scan 253859 33
scan 385938 36
scan 338768 89
scan 313033 2
scan 436872 41
scan 182029 78
scan 577271 39
scan 594498 33
scan 444454 8
scan 538476 22
scan 363418 11
scan 537736 24
scan 23971 67
scan 130424 61
scan 80947 98
insert 600006
scan 80947 100
scan 335857 83
scan 557057 86
scan 537736 95
scan 270288 4
scan 457593 32
scan 146530 37
scan 550134 100
scan 1145 88
scan 374391 41
scan 386790 21
scan 544769 13
scan 220468 37
scan 486297 81
scan 419230 62
scan 38355 44
scan 463048 34
scan 435671 46
scan 545361 30
scan 307150 10
scan 514060 62
scan 286226 46
scan 537736 41
scan 572355 31
scan 40886 6
scan 97177 47
scan 499184 42
insert 600007
scan 482789 43
scan 196631 75
scan 530298 99
scan 382554 7
scan 505595 60
scan 537736 19
scan 11525 13
insert 600008
scan 320238 27
scan 148649 57
scan 387944 61
scan 386790 65
scan 45515 94
scan 153011 31
scan 215435 57
scan 342501 28
scan 301621 63
scan 518818 46
scan 17819 60
scan 185551 7
scan 220468 78
scan 343643 55
scan 537736 51
scan 404347 68
scan 37319 89
scan 537736 44
scan 551314 54
scan 468415 65
scan 568372 97
scan 549274 2
scan 388900 94
scan 536198 91
scan 370209 73
scan 386790 21
scan 577271 78
scan 462955 46
scan 537736 12
scan 424592 7
scan 431195 14
scan 470870 12
scan 384670 69
scan 438833 42
scan 386790 46
scan 149251 23
scan 537736 83
scan 273671 48
scan 118644 49
scan 577271 96
scan 156308 21
scan 278403 6
scan 280080 5
scan 200835 26
insert 600009
scan 213328 99
scan 308017 30
scan 488525 16
insert 600010
scan 470375 17
scan 537736 77
scan 578002 95
scan 220468 13
scan 524471 47
scan 386790 87
scan 377093 26
scan 570470 48
scan 79248 21
scan 566686 44
insert 600011
scan 304521 6
scan 589141 81
scan 172572 10
scan 197624 49
scan 404112 71
insert 600012
scan 223992 22
scan 554741 63
scan 82591 86
scan 548432 26
scan 228973 66
scan 346467 45
scan 311533 50
scan 403409 30
insert 600013
scan 386790 40
scan 174625 77
scan 493288 3
scan 539958 80
scan 201971 26
scan 496981 9
scan 212268 90
scan 486066 53
scan 453763 11
insert 600014
scan 220468 83
insert 600015
scan 324384 73
scan 537736 85
scan 68872 85
scan 586005 46
scan 482129 73
scan 502833 69
scan 255162 31
scan 502833 59
scan 537736 30
scan 428306 69
scan 423009 67
scan 434608 16
scan 130424 100
scan 174054 49
scan 386790 49
scan 583393 55
insert 600016
scan 211886 61
scan 108780 99
scan 215803 78
scan 220468 41
scan 103958 63
scan 213047 2
scan 537736 76
scan 432690 79
scan 220468 20
scan 347802 2
scan 30331 19
scan 278581 16
scan 536330 25
scan 559018 89
scan 247229 57
scan 548432 48
scan 548432 4
scan 537736 3
scan 583809 56
scan 188194 12
insert 600017
scan 531233 55
scan 428519 19
scan 310394 54
scan 127986 56
scan 537736 89
scan 478711 87
insert 600018
scan 385938 4
scan 72136 34
scan 313157 62
scan 419230 56
scan 537736 60
scan 225847 49
scan 299878 54
scan 289780 9
scan 563507 94
insert 600019
scan 275510 78
scan 171458 52
scan 537736 84
scan 539149 3
scan 548432 64
scan 526092 22
scan 386790 2
scan 397841 60
scan 559018 40
scan 130424 43
scan 15615 38
scan 482789 68
scan 290783 1
scan 75616 84
scan 65176 61
scan 27917 80
scan 548432 27
scan 137871 44
scan 537736 12
scan 217453 48
scan 79703 78
scan 484017 43
scan 252558 97
scan 487724 100
scan 583235 62
scan 434052 70
scan 433886 4
scan 347144 78
scan 42234 12
scan 371443 46
scan 201375 81
scan 439460 77
scan 448403 62
scan 537736 19
scan 489877 41
scan 260182 20
scan 346465 52
scan 537736 16
scan 386790 68
scan 2876 85
scan 456702 56
scan 306593 8
scan 519230 96
scan 391659 54
scan 572089 38
scan 65963 84
scan 362511 7
scan 577622 93
scan 333530 67
scan 146409 26
scan 103958 95
scan 213720 27
scan 573753 27
scan 268249 40
scan 242481 57
scan 382559 12
scan 255162 27
scan 27025 24
scan 594375 10
scan 220468 35
scan 583486 90
scan 137879 77
scan 427321 36
scan 220468 7
scan 254680 30
scan 537736 19
scan 406506 48
scan 569895 84
insert 600020
scan 323963 21
scan 278779 45
scan 217849 82
scan 540925 56
scan 559018 91
scan 220468 70
scan 548432 10
scan 27025 72
scan 38561 60
scan 386790 81
scan 356342 47
scan 189674 9
scan 255162 79
scan 523680 85
scan 195116 29
scan 559018 35
scan 537736 85
scan 255162 76
scan 334701 62
scan 212268 64
scan 104181 72
scan 92810 64
scan 537736 97
scan 434052 96
scan 340401 27
scan 434052 72
scan 537736 60
scan 236163 33
scan 26814 74
scan 537736 95
scan 429405 71
scan 281375 41
scan 2876 97
scan 93507 64
scan 136691 69
scan 152040 23
scan 255162 22
scan 172572 83
scan 386790 24
scan 538944 40
scan 72811 2
scan 559018 40
scan 126689 37
scan 86146 3
scan 69576 34
scan 448995 15
scan 537688 10
scan 121271 88
scan 102224 39
scan 583809 65
scan 277394 80
scan 371661 69
scan 252541 39
scan 463048 82
scan 577097 43
scan 580157 45
scan 93261 11
scan 334701 25
scan 255162 6
insert 600021
scan 171822 27
scan 186253 83
scan 279174 43
scan 482910 100
insert 600022
scan 144536 29
scan 306393 10
scan 461347 98
scan 548432 6
scan 206252 4
scan 181295 95
scan 386790 55
scan 470375 43
insert 600023
scan 190144 74
scan 296566 16
scan 245236 16
scan 386790 65
scan 337638 8
scan 453197 28
scan 77052 80
scan 46582 73
scan 340497 3
scan 258153 36
scan 83482 45
scan 296418 74
scan 220468 53
scan 289582 85
scan 537736 79
scan 97177 58
scan 258287 63
scan 548432 21
scan 274943 97
scan 246397 4
scan 572317 22
scan 42481 74
scan 341378 5
scan 39723 91
scan 130424 22
scan 269359 52
scan 80947 93
scan 190343 25
scan 368026 21
scan 136630 15
scan 559018 82
scan 538927 70
scan 40315 97
scan 272070 17
scan 386790 42
scan 386790 57
scan 148100 85
scan 347133 60
scan 293006 92
scan 596809 67
scan 149419 44
scan 202020 53
scan 509412 76
scan 34591 59
scan 382089 73
scan 40099 89
scan 348726 20
scan 537736 43
insert 600024
scan 2622 66
scan 260451 90
scan 503994 76
scan 67090 60
insert 600025
scan 172572 48
insert 600026
scan 297170 96
scan 464243 15
scan 49971 17
scan 503994 93
scan 405910 24
scan 431691 91
scan 237165 38
scan 220468 77
scan 413754 60
scan 79908 66
scan 172572 89
scan 220468 31
scan 379961 88
scan 387852 7
scan 236112 18
scan 460151 26
scan 303084 69
scan 386790 32
scan 313685 84
scan 510891 97
scan 478181 72
scan 180 16
scan 144536 36
scan 220468 53
scan 486066 37
scan 83857 71
scan 489375 91
scan 420583 6
insert 600027
scan 200835 15
scan 328571 7
scan 255162 31
scan 502381 83
scan 548432 80
scan 372509 94
scan 537736 6
scan 459110 85
scan 290783 37
